TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Private,Female,Tertiary,None,Suburban,No,Yes,9864,15.1,Pass
Private,Male,Tertiary,2 years,Urban,Yes,Yes,9708,13.6,Fail
Public,Male,Tertiary,2 years,Urban,Yes,Yes,3532,18.1,Fail
Public,Female,Secondary,1 year,Suburban,No,No,8770,17.9,Pass
Private,Male,Secondary,2 years,Urban,No,No,4670,16.9,Pass
Private,Female,Primary,2 years,Urban,Yes,No,1781,13.8,Fail
Public,Female,Primary,None,Urban,Yes,No,4523,16.3,Pass
Private,Male,Primary,None,Rural,No,Yes,7131,16.4,Fail
Public,Male,Primary,None,Suburban,Yes,No,5782,13.3,Fail
Public,Female,Secondary,None,Rural,Yes,Yes,5995,18.8,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,2501,19.8,Fail
Private,Female,Secondary,None,Urban,Yes,Yes,4080,13.1,Pass
Public,Male,Primary,1 year,Rural,No,No,1502,18.0,Pass
Public,Male,Secondary,1 year,Urban,Yes,Yes,4885,15.0,Pass
Private,Male,Tertiary,2 years,Urban,No,No,9009,14.6,Pass
Private,Male,Secondary,1 year,Suburban,Yes,Yes,1623,13.9,Fail
Private,Male,Tertiary,None,Urban,Yes,Yes,2050,12.9,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,8385,19.2,Fail
Public,Male,Secondary,1 year,Suburban,Yes,No,7081,17.4,Pass
Public,Male,Primary,2 years,Rural,Yes,Yes,6484,14.4,Pass
Public,Female,Primary,None,Rural,No,No,4772,17.5,Fail
Private,Male,Tertiary,None,Urban,Yes,No,4916,17.2,Pass
Private,Male,Tertiary,1 year,Rural,Yes,Yes,5018,12.7,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,2329,11.8,Fail
Private,Female,Tertiary,2 years,Rural,No,No,5114,18.4,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,No,4367,18.1,Fail
Private,Male,Primary,None,Rural,No,Yes,9095,20.0,Fail
Private,Male,Primary,1 year,Urban,Yes,No,6141,10.2,Fail
Private,Male,Tertiary,1 year,Rural,No,Yes,4951,15.4,Fail
Private,Female,Primary,1 year,Urban,No,Yes,6084,17.0,Fail
Public,Female,Primary,None,Rural,No,Yes,2573,15.8,Fail
Public,Male,Tertiary,None,Suburban,No,Yes,3634,17.1,Fail
Public,Male,Secondary,1 year,Rural,Yes,Yes,3768,11.4,Fail
Public,Male,Secondary,2 years,Rural,No,No,6302,10.0,Fail
Private,Male,Primary,1 year,Suburban,Yes,Yes,7250,10.9,Pass
Public,Female,Tertiary,None,Suburban,No,No,2211,13.8,Pass
Public,Female,Primary,2 years,Rural,No,Yes,9967,13.3,Fail
Public,Male,Tertiary,2 years,Suburban,No,Yes,6955,18.7,Pass
Public,Female,Primary,None,Suburban,No,No,2160,10.8,Fail
Private,Female,Primary,None,Rural,No,No,6977,14.4,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,8041,19.6,Fail
Public,Male,Primary,None,Rural,No,Yes,3383,15.0,Pass
Public,Male,Secondary,2 years,Rural,Yes,No,6876,11.3,Fail
Private,Male,Secondary,1 year,Urban,No,No,4540,12.9,Pass
Private,Female,Tertiary,1 year,Rural,No,No,5635,16.3,Fail
Public,Male,Primary,2 years,Rural,No,No,2095,10.1,Pass
Private,Male,Secondary,None,Suburban,No,No,6901,19.7,Pass
Private,Male,Tertiary,1 year,Rural,Yes,Yes,9215,15.7,Fail
Public,Male,Tertiary,2 years,Urban,No,No,2079,17.0,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,9370,15.0,Pass
Public,Male,Secondary,2 years,Suburban,Yes,Yes,3847,19.6,Fail
Public,Male,Secondary,None,Rural,Yes,No,2960,15.9,Pass
Private,Female,Secondary,None,Rural,Yes,No,2473,16.6,Pass
Private,Male,Secondary,None,Rural,Yes,Yes,5888,18.6,Pass
Private,Male,Primary,None,Rural,Yes,Yes,5979,18.6,Pass
Private,Male,Secondary,2 years,Urban,No,No,2212,10.3,Fail
Private,Female,Tertiary,1 year,Urban,Yes,Yes,6697,12.8,Pass
Private,Male,Primary,2 years,Suburban,Yes,Yes,1419,12.5,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,4659,10.1,Fail
Private,Male,Primary,1 year,Urban,Yes,Yes,6283,18.8,Pass
Public,Female,Tertiary,1 year,Rural,Yes,Yes,2340,13.2,Pass
Private,Male,Secondary,None,Urban,Yes,No,6137,13.5,Pass
Private,Male,Primary,2 years,Urban,No,Yes,6189,11.0,Fail
Private,Male,Secondary,1 year,Suburban,No,Yes,2361,19.9,Fail
Private,Female,Primary,2 years,Rural,Yes,No,1591,18.3,Pass
Private,Female,Primary,None,Suburban,Yes,No,1526,15.7,Fail
Public,Male,Tertiary,1 year,Suburban,No,Yes,8855,17.7,Fail
Public,Male,Tertiary,None,Suburban,Yes,Yes,2292,17.8,Pass
Public,Female,Secondary,None,Suburban,No,Yes,2654,16.6,Pass
Private,Male,Secondary,2 years,Suburban,No,No,1187,11.7,Fail
Private,Female,Primary,1 year,Suburban,No,Yes,3758,17.2,Pass
Private,Female,Tertiary,None,Suburban,Yes,Yes,9720,15.7,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,9625,17.2,Fail
Public,Male,Primary,1 year,Suburban,No,No,7431,15.4,Fail
Private,Female,Tertiary,1 year,Rural,Yes,No,7037,19.6,Pass
Public,Female,Tertiary,None,Rural,Yes,No,9494,16.3,Fail
Private,Male,Primary,None,Urban,No,No,5182,15.7,Pass
Private,Male,Secondary,None,Suburban,Yes,No,7973,18.4,Pass
Public,Male,Secondary,None,Rural,Yes,Yes,1437,13.8,Fail
Public,Female,Secondary,1 year,Urban,No,No,1832,13.2,Pass
Public,Female,Primary,None,Urban,Yes,No,9988,15.0,Pass
Public,Male,Secondary,None,Suburban,No,Yes,9751,15.8,Fail
Private,Female,Primary,None,Suburban,Yes,Yes,9953,12.2,Fail
Private,Male,Primary,1 year,Suburban,No,Yes,6794,16.8,Pass
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,4574,18.0,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,4785,15.8,Fail
Public,Male,Secondary,1 year,Rural,Yes,Yes,6220,15.2,Fail
Public,Male,Primary,2 years,Suburban,No,No,8750,12.9,Pass
Private,Female,Secondary,1 year,Suburban,Yes,No,7818,19.1,Pass
Private,Female,Secondary,None,Rural,Yes,No,1684,17.5,Fail
Private,Male,Tertiary,2 years,Suburban,No,Yes,5233,14.8,Fail
Private,Female,Secondary,1 year,Urban,Yes,Yes,1577,16.6,Fail
Private,Female,Secondary,1 year,Rural,No,No,9007,13.4,Pass
Private,Male,Tertiary,None,Urban,Yes,No,1227,10.6,Pass
Private,Female,Secondary,1 year,Urban,Yes,Yes,3328,12.0,Pass
Public,Female,Secondary,2 years,Urban,No,No,3731,10.8,Pass
Private,Male,Primary,None,Urban,Yes,Yes,1430,15.1,Pass
Public,Female,Secondary,1 year,Suburban,No,Yes,2709,16.2,Pass
Public,Female,Tertiary,None,Suburban,Yes,Yes,6782,13.8,Fail
Public,Female,Tertiary,1 year,Suburban,No,Yes,2234,15.3,Fail
Private,Female,Primary,2 years,Suburban,Yes,No,9493,10.9,Pass
Private,Female,Tertiary,2 years,Rural,Yes,No,6205,17.7,Pass
Private,Male,Tertiary,None,Suburban,No,No,2420,10.3,Fail
Private,Male,Tertiary,1 year,Rural,Yes,No,1768,16.3,Fail
Public,Male,Secondary,None,Urban,Yes,Yes,7034,14.3,Fail
Private,Male,Primary,None,Rural,No,No,9635,11.8,Pass
Public,Male,Primary,2 years,Suburban,Yes,No,4104,15.2,Pass
Private,Female,Primary,None,Urban,No,Yes,5355,17.8,Pass
Private,Female,Primary,1 year,Urban,Yes,Yes,4305,14.1,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,No,2538,13.7,Fail
Public,Male,Secondary,1 year,Urban,No,Yes,2331,11.4,Fail
Public,Male,Tertiary,None,Urban,No,Yes,9168,15.9,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,7939,18.3,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,9261,15.6,Pass
Public,Female,Tertiary,1 year,Urban,Yes,Yes,6558,11.7,Pass
Private,Female,Primary,None,Urban,Yes,Yes,6944,16.6,Pass
Public,Female,Primary,1 year,Rural,No,Yes,8126,10.3,Fail
Private,Female,Secondary,None,Suburban,No,Yes,1480,18.4,Pass
Public,Male,Tertiary,None,Rural,No,No,6263,19.2,Pass
Public,Female,Primary,None,Rural,No,No,5094,16.0,Pass
Private,Male,Secondary,None,Suburban,Yes,Yes,7167,18.8,Pass
Public,Male,Tertiary,2 years,Suburban,Yes,No,3793,10.8,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,3892,12.3,Pass
Private,Female,Primary,1 year,Urban,Yes,Yes,2198,13.2,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,9011,17.7,Pass
Public,Female,Tertiary,None,Urban,Yes,No,3372,14.8,Fail
Private,Female,Primary,None,Suburban,No,Yes,2892,13.5,Fail
Private,Female,Secondary,None,Urban,Yes,Yes,6790,11.6,Pass
Public,Female,Secondary,None,Rural,Yes,Yes,2883,18.1,Fail
Public,Female,Primary,2 years,Rural,No,Yes,6467,10.2,Pass
Public,Male,Primary,1 year,Rural,Yes,No,1797,13.4,Fail
Private,Male,Secondary,None,Rural,No,No,9209,12.4,Fail
Private,Female,Secondary,None,Suburban,No,No,9235,11.3,Fail
Private,Male,Primary,None,Rural,Yes,No,1154,11.7,Pass
Public,Female,Primary,1 year,Urban,Yes,Yes,5962,14.9,Fail
Public,Male,Primary,1 year,Rural,Yes,No,5080,14.3,Fail
Private,Male,Tertiary,2 years,Rural,No,No,9050,15.2,Pass
Private,Female,Primary,1 year,Rural,Yes,No,6947,17.3,Pass
Public,Female,Tertiary,1 year,Rural,Yes,Yes,5320,18.9,Fail
Private,Female,Secondary,None,Suburban,No,Yes,2892,11.2,Fail
Public,Male,Secondary,1 year,Suburban,Yes,Yes,4424,10.8,Fail
Public,Male,Primary,None,Suburban,Yes,Yes,3015,13.2,Fail
Public,Female,Primary,2 years,Urban,Yes,Yes,7673,15.5,Fail
Private,Male,Secondary,None,Urban,Yes,No,7032,11.0,Pass
Private,Female,Secondary,2 years,Rural,Yes,No,5833,17.2,Fail
Public,Male,Secondary,1 year,Urban,Yes,No,1565,15.6,Pass
Public,Female,Secondary,2 years,Urban,No,No,8412,17.5,Fail
Private,Male,Primary,None,Urban,Yes,Yes,3018,13.6,Fail
Public,Female,Tertiary,1 year,Urban,Yes,Yes,3314,14.0,Fail
Private,Female,Secondary,1 year,Suburban,Yes,Yes,5412,18.1,Pass
Private,Female,Secondary,None,Suburban,No,Yes,4883,12.7,Pass
Private,Male,Tertiary,1 year,Urban,No,No,9216,13.8,Fail
Public,Female,Primary,None,Urban,Yes,Yes,7739,10.1,Fail
Public,Male,Tertiary,2 years,Suburban,No,No,8902,15.6,Pass
Public,Female,Primary,2 years,Rural,No,Yes,2189,18.5,Pass
Public,Female,Primary,1 year,Suburban,No,No,8156,10.3,Pass
Private,Female,Primary,None,Urban,Yes,Yes,8342,16.1,Fail
Public,Male,Primary,None,Urban,No,No,7884,18.5,Pass
Private,Male,Primary,2 years,Urban,Yes,No,4157,14.9,Fail
Public,Male,Secondary,None,Suburban,No,No,6520,13.1,Pass
Public,Female,Primary,1 year,Urban,No,Yes,2741,20.0,Pass
Public,Male,Secondary,1 year,Suburban,No,Yes,4688,10.6,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,8485,12.1,Fail
Public,Female,Secondary,None,Urban,Yes,No,6369,18.9,Pass
Private,Female,Tertiary,1 year,Urban,No,No,6644,13.0,Fail
Public,Female,Tertiary,1 year,Rural,No,No,5023,18.2,Fail
Public,Female,Secondary,1 year,Suburban,Yes,No,1716,13.3,Fail
Public,Male,Primary,None,Urban,No,Yes,4967,18.1,Fail
Public,Male,Secondary,2 years,Urban,Yes,No,8423,16.9,Pass
Public,Female,Secondary,2 years,Urban,Yes,Yes,7450,14.7,Pass
Private,Female,Primary,1 year,Urban,No,No,4215,15.2,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,8825,11.8,Pass
Private,Female,Secondary,1 year,Suburban,Yes,No,1390,11.2,Fail
Public,Female,Tertiary,1 year,Rural,No,No,4037,17.2,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,1232,18.5,Fail
Public,Female,Tertiary,1 year,Rural,No,Yes,4131,17.2,Fail
Public,Male,Secondary,1 year,Rural,Yes,No,8634,19.1,Fail
Private,Female,Secondary,None,Suburban,Yes,No,1233,18.9,Fail
Public,Male,Primary,None,Urban,Yes,No,2391,17.8,Fail
Private,Male,Primary,2 years,Urban,Yes,Yes,1889,19.0,Pass
Public,Male,Secondary,None,Rural,Yes,Yes,8902,11.7,Fail
Private,Male,Primary,1 year,Rural,Yes,Yes,1745,17.3,Pass
Private,Female,Tertiary,None,Rural,Yes,Yes,1427,17.5,Fail
Private,Female,Tertiary,None,Urban,Yes,Yes,1731,11.5,Fail
Public,Female,Secondary,2 years,Suburban,Yes,No,1799,19.1,Fail
Private,Male,Tertiary,None,Urban,Yes,No,7507,10.1,Fail
Public,Male,Secondary,1 year,Rural,No,Yes,8025,14.3,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,8624,10.2,Pass
Private,Female,Secondary,1 year,Urban,Yes,Yes,9326,15.2,Pass
Private,Female,Tertiary,None,Urban,No,Yes,6383,14.1,Fail
Public,Female,Secondary,None,Suburban,Yes,Yes,7207,16.2,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,3538,17.7,Pass
Public,Male,Primary,None,Urban,No,Yes,4718,17.7,Fail
Private,Female,Tertiary,2 years,Urban,Yes,No,9232,17.2,Pass
Public,Male,Secondary,2 years,Rural,No,No,4367,11.0,Fail
Public,Male,Primary,2 years,Urban,Yes,No,6008,14.2,Pass
Private,Female,Secondary,2 years,Urban,Yes,No,6229,18.2,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,8388,16.5,Fail
Public,Male,Primary,None,Urban,Yes,No,3415,16.8,Pass
Public,Female,Primary,2 years,Rural,No,No,8171,12.3,Fail
Public,Male,Secondary,1 year,Urban,Yes,Yes,3949,13.3,Pass
Private,Male,Secondary,2 years,Suburban,No,No,5261,19.6,Pass
Private,Male,Tertiary,None,Urban,No,No,6145,18.5,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,4466,11.6,Pass
Private,Female,Secondary,2 years,Rural,Yes,No,4088,15.4,Fail
Private,Female,Primary,2 years,Urban,Yes,Yes,2115,14.9,Fail
Public,Male,Tertiary,2 years,Suburban,No,Yes,5578,14.4,Pass
Public,Female,Tertiary,None,Suburban,No,No,3590,14.7,Fail
Public,Female,Primary,1 year,Urban,Yes,Yes,8372,16.4,Pass
Private,Female,Secondary,2 years,Urban,No,No,4573,19.7,Pass
Private,Male,Tertiary,1 year,Rural,No,No,3978,18.8,Fail
Public,Male,Primary,None,Rural,No,No,8313,18.8,Fail
Public,Female,Tertiary,None,Urban,No,Yes,8022,17.0,Fail
Public,Female,Primary,2 years,Rural,No,Yes,5975,10.2,Pass
Private,Female,Tertiary,1 year,Rural,Yes,No,5925,14.4,Pass
Private,Female,Secondary,2 years,Rural,Yes,Yes,9047,15.1,Fail
Private,Male,Primary,None,Rural,No,Yes,9090,18.4,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,9051,19.2,Fail
Private,Male,Tertiary,2 years,Urban,No,Yes,6292,14.5,Fail
Public,Male,Primary,1 year,Suburban,No,No,7645,13.0,Pass
Public,Male,Primary,None,Rural,Yes,No,6403,13.4,Pass
Private,Male,Secondary,2 years,Urban,No,No,4430,15.8,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,2995,12.7,Pass
Public,Male,Tertiary,2 years,Rural,Yes,No,7030,19.1,Pass
Private,Male,Secondary,1 year,Suburban,Yes,Yes,4891,14.2,Pass
Private,Female,Primary,None,Rural,Yes,Yes,8145,19.9,Fail
Public,Male,Tertiary,2 years,Urban,No,No,9498,11.1,Fail
Private,Female,Primary,2 years,Suburban,No,No,3102,11.9,Fail
Private,Female,Tertiary,2 years,Urban,No,No,4030,15.1,Pass
Public,Female,Tertiary,None,Rural,No,No,9524,18.7,Pass
Private,Female,Secondary,1 year,Rural,No,Yes,9107,13.5,Fail
Private,Female,Secondary,1 year,Rural,Yes,Yes,1242,18.4,Pass
Public,Male,Primary,2 years,Suburban,No,No,2884,14.3,Pass
Public,Male,Secondary,2 years,Suburban,Yes,No,9015,18.5,Fail
Private,Female,Primary,1 year,Suburban,No,Yes,7747,12.8,Pass
Public,Female,Secondary,1 year,Urban,No,No,9494,14.7,Pass
Public,Female,Secondary,1 year,Suburban,Yes,No,5330,12.8,Pass
Private,Male,Primary,2 years,Rural,No,No,8863,12.2,Fail
Public,Female,Secondary,2 years,Urban,No,No,4109,14.2,Fail
Private,Male,Secondary,1 year,Rural,Yes,Yes,3186,13.3,Fail
Public,Male,Secondary,1 year,Rural,Yes,No,2550,17.9,Pass
Public,Female,Secondary,None,Suburban,No,Yes,1646,17.5,Pass
Private,Male,Primary,2 years,Suburban,No,Yes,7144,13.6,Pass
Private,Male,Tertiary,None,Suburban,Yes,No,5656,19.9,Pass
Private,Male,Primary,1 year,Rural,No,No,9904,19.7,Pass
Public,Female,Primary,2 years,Urban,Yes,No,1537,19.2,Pass
Private,Female,Primary,2 years,Suburban,Yes,No,7572,15.9,Pass
Private,Female,Secondary,None,Suburban,No,Yes,1234,14.1,Pass
Public,Female,Secondary,None,Urban,Yes,No,7539,13.1,Pass
Public,Female,Tertiary,None,Rural,No,No,2374,10.2,Pass
Public,Female,Secondary,None,Rural,No,Yes,2909,16.3,Pass
Private,Female,Tertiary,2 years,Urban,Yes,No,8218,15.5,Pass
Public,Female,Tertiary,1 year,Suburban,No,No,1080,16.3,Pass
Public,Male,Secondary,1 year,Urban,No,Yes,3083,15.8,Fail
Private,Female,Tertiary,1 year,Suburban,No,No,2690,11.4,Fail
Public,Male,Primary,None,Urban,Yes,Yes,1756,17.0,Fail
Public,Male,Primary,1 year,Rural,Yes,No,3670,13.6,Fail
Private,Female,Primary,None,Rural,No,Yes,4751,15.2,Pass
Public,Male,Tertiary,None,Rural,No,Yes,9659,13.7,Fail
Private,Male,Tertiary,1 year,Rural,Yes,No,6261,10.2,Fail
Private,Female,Primary,1 year,Urban,Yes,Yes,7852,18.8,Fail
Private,Male,Secondary,1 year,Urban,No,No,2494,11.5,Pass
Private,Female,Primary,2 years,Suburban,No,No,6740,15.8,Fail
Private,Male,Secondary,None,Urban,No,No,9055,18.8,Pass
Public,Male,Secondary,2 years,Suburban,Yes,No,1901,12.2,Fail
Private,Female,Tertiary,1 year,Urban,Yes,No,1672,14.1,Pass
Private,Male,Tertiary,2 years,Urban,Yes,No,9630,13.8,Fail
Private,Male,Secondary,2 years,Urban,No,No,1444,10.9,Pass
Private,Female,Secondary,1 year,Urban,Yes,No,9655,14.2,Fail
Public,Female,Secondary,1 year,Rural,No,Yes,3198,14.8,Pass
Public,Male,Tertiary,None,Urban,Yes,No,3287,10.3,Fail
Public,Male,Primary,None,Suburban,Yes,Yes,5008,14.9,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,1496,10.9,Fail
Public,Male,Tertiary,1 year,Urban,Yes,Yes,2463,18.9,Pass
Public,Female,Primary,None,Urban,No,Yes,7828,16.5,Pass
Private,Female,Tertiary,None,Suburban,Yes,No,5253,10.6,Pass
Private,Female,Primary,2 years,Rural,Yes,No,1493,18.3,Pass
Public,Male,Tertiary,2 years,Rural,Yes,Yes,6065,13.6,Fail
Public,Male,Primary,2 years,Rural,No,Yes,6430,12.3,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,2426,12.5,Fail
Public,Female,Tertiary,None,Suburban,Yes,No,2793,16.0,Pass
Private,Male,Primary,None,Urban,No,No,3723,10.8,Fail
Private,Female,Primary,None,Urban,Yes,No,1658,10.6,Pass
Private,Male,Primary,2 years,Rural,Yes,No,5761,16.3,Pass
Private,Female,Secondary,1 year,Suburban,No,No,8630,19.8,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,9741,14.8,Fail
Public,Male,Primary,2 years,Rural,Yes,No,9834,14.1,Fail
Private,Female,Secondary,1 year,Rural,No,Yes,5350,19.5,Fail
Private,Male,Secondary,1 year,Suburban,Yes,Yes,1207,12.4,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,5190,12.4,Pass
Private,Male,Secondary,1 year,Suburban,No,Yes,2883,19.1,Fail
Public,Male,Secondary,2 years,Rural,Yes,No,3886,16.5,Fail
Private,Male,Secondary,None,Suburban,Yes,No,1477,10.5,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,9953,16.7,Pass
Private,Male,Tertiary,None,Urban,No,No,9381,18.2,Fail
Public,Female,Tertiary,1 year,Rural,No,No,7854,12.7,Fail
Private,Male,Secondary,2 years,Rural,No,Yes,1755,13.8,Pass
Public,Female,Primary,2 years,Urban,No,No,5931,12.0,Pass
Private,Female,Primary,2 years,Suburban,Yes,No,6724,16.3,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,5150,16.6,Fail
Public,Female,Secondary,2 years,Rural,No,Yes,5060,10.7,Fail
Public,Male,Primary,2 years,Rural,No,Yes,5765,16.8,Pass
Private,Male,Tertiary,1 year,Urban,No,No,4612,16.6,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,7553,10.4,Fail
Private,Female,Tertiary,None,Urban,Yes,Yes,8378,15.6,Pass
Private,Female,Tertiary,1 year,Rural,Yes,Yes,2689,16.1,Pass
Public,Female,Secondary,1 year,Rural,Yes,Yes,2316,14.3,Fail
Public,Female,Tertiary,None,Urban,No,No,8130,19.0,Pass
Public,Male,Primary,None,Urban,Yes,No,4186,13.3,Pass
Private,Male,Primary,2 years,Suburban,Yes,Yes,6789,10.7,Fail
Public,Female,Tertiary,None,Urban,No,Yes,2145,16.7,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,5394,16.1,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,8942,19.9,Pass
Public,Female,Primary,2 years,Urban,Yes,Yes,8548,12.3,Pass
Public,Male,Primary,None,Urban,Yes,Yes,1560,14.0,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,2912,14.6,Fail
Public,Female,Primary,2 years,Urban,No,Yes,2864,18.6,Fail
Private,Female,Primary,None,Suburban,No,No,1296,14.1,Pass
Public,Male,Secondary,None,Suburban,No,No,3409,17.7,Pass
Public,Male,Tertiary,None,Rural,No,No,8630,11.6,Fail
Private,Female,Tertiary,None,Suburban,Yes,Yes,2461,14.1,Fail
Private,Female,Secondary,2 years,Rural,Yes,Yes,5292,11.5,Fail
Private,Female,Secondary,1 year,Urban,Yes,No,3268,19.5,Fail
Private,Female,Primary,2 years,Suburban,Yes,No,1994,11.8,Pass
Public,Female,Secondary,2 years,Suburban,Yes,Yes,7554,14.2,Fail
Public,Female,Tertiary,2 years,Urban,Yes,Yes,1007,10.8,Pass
Private,Female,Tertiary,None,Urban,Yes,Yes,3515,19.2,Pass
Public,Female,Tertiary,None,Urban,No,Yes,2417,16.2,Fail
Private,Male,Primary,1 year,Suburban,Yes,Yes,3316,19.6,Pass
Private,Male,Primary,1 year,Urban,No,No,8358,10.4,Fail
Public,Male,Tertiary,1 year,Urban,Yes,Yes,4932,11.7,Fail
Public,Male,Tertiary,2 years,Rural,Yes,No,7204,13.8,Fail
Private,Female,Primary,1 year,Rural,No,No,2287,16.2,Pass
Public,Male,Primary,2 years,Suburban,No,No,2118,13.3,Fail
Private,Male,Secondary,None,Urban,Yes,No,9744,17.1,Pass
Private,Female,Primary,2 years,Urban,Yes,Yes,8637,11.7,Pass
Private,Male,Primary,None,Rural,Yes,No,1660,16.0,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,9907,14.0,Pass
Public,Male,Tertiary,1 year,Urban,Yes,Yes,7922,15.1,Fail
Private,Male,Tertiary,None,Suburban,No,Yes,9104,15.7,Fail
Private,Male,Secondary,1 year,Rural,No,No,7337,10.6,Pass
Private,Female,Primary,1 year,Urban,No,Yes,3529,19.2,Pass
Public,Female,Secondary,1 year,Rural,Yes,Yes,4970,17.9,Pass
Private,Female,Primary,2 years,Rural,Yes,Yes,4407,14.4,Fail
Private,Male,Primary,1 year,Rural,No,Yes,8416,15.5,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,5760,10.3,Fail
Private,Male,Primary,None,Suburban,Yes,No,2897,15.0,Pass
Private,Female,Secondary,2 years,Urban,Yes,Yes,7364,14.3,Fail
Private,Male,Tertiary,1 year,Rural,Yes,Yes,9464,13.7,Pass
Private,Male,Secondary,1 year,Suburban,Yes,Yes,5087,18.2,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,5374,11.8,Fail
Public,Male,Tertiary,None,Urban,No,No,8607,11.8,Fail
Public,Female,Primary,None,Suburban,No,Yes,5019,15.2,Fail
Private,Female,Secondary,None,Urban,Yes,No,1815,16.9,Pass
Public,Male,Primary,1 year,Suburban,Yes,Yes,8255,10.2,Pass
Public,Female,Tertiary,1 year,Rural,Yes,No,1922,15.5,Fail
Private,Female,Primary,1 year,Rural,Yes,Yes,5867,13.0,Pass
Public,Female,Primary,1 year,Rural,Yes,Yes,2264,17.6,Pass
Public,Male,Tertiary,1 year,Urban,Yes,No,4724,14.7,Fail
Public,Female,Primary,None,Urban,Yes,Yes,3722,18.3,Fail
Private,Female,Secondary,1 year,Rural,Yes,No,6355,14.0,Pass
Private,Male,Secondary,2 years,Rural,No,Yes,3550,18.3,Fail
Public,Female,Secondary,1 year,Suburban,Yes,No,6319,17.2,Pass
Public,Female,Primary,None,Suburban,No,No,7686,18.3,Fail
Private,Female,Secondary,1 year,Urban,No,Yes,2673,18.1,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,5587,14.9,Fail
Private,Male,Primary,1 year,Urban,Yes,Yes,6353,13.7,Fail
Private,Female,Primary,2 years,Urban,No,No,7857,17.7,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,2666,13.6,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,5511,10.9,Fail
Public,Male,Secondary,2 years,Suburban,Yes,No,7172,18.6,Pass
Private,Female,Secondary,1 year,Rural,No,Yes,2384,14.0,Fail
Private,Female,Primary,2 years,Rural,Yes,No,5403,11.3,Pass
Private,Male,Tertiary,1 year,Suburban,No,Yes,4954,16.5,Pass
Private,Female,Primary,1 year,Rural,Yes,Yes,7305,18.9,Fail
Public,Male,Secondary,1 year,Urban,Yes,Yes,9252,18.6,Pass
Public,Male,Secondary,1 year,Rural,No,Yes,8238,15.5,Pass
Public,Female,Tertiary,None,Rural,No,Yes,7981,10.9,Fail
Private,Male,Primary,1 year,Rural,No,Yes,7026,17.0,Fail
Public,Male,Tertiary,None,Urban,Yes,Yes,7609,16.1,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,9664,12.1,Pass
Private,Male,Tertiary,1 year,Suburban,No,Yes,1958,19.0,Pass
Public,Female,Secondary,2 years,Rural,No,Yes,9724,10.9,Fail
Private,Male,Tertiary,None,Rural,Yes,Yes,1493,13.7,Pass
Private,Female,Secondary,1 year,Urban,Yes,No,8042,10.9,Fail
Public,Male,Secondary,1 year,Rural,Yes,Yes,1081,19.1,Fail
Private,Female,Primary,None,Urban,Yes,Yes,7999,10.4,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,3970,14.3,Fail
Public,Male,Tertiary,None,Suburban,No,No,1011,18.6,Pass
